,How old are you?,What is your Gender Identity?,What is your academic level?,What is your field of study,"How often do you use other technological tools for academic purposes? (e.g. Online databases, search engines, note-taking apps, etc.)",How often do you use ChatGPT for academic purposes,How helpful do you find ChatGPT in completing your coursework? ,Do you believe ChatGPT has improved your academic performance?,How much do you trust the information provided by ChatGPT?,Do you believe that ChatGPT could improve more to aid in your academic performances?
,18,Male,University,Comp Sci & Engineering,Very Often,Not Very Often,Slightly Helpful,No,Don't trust it at all,Yes
,18,Male,University,Comp Sci & Engineering,Very Often,Very Often,Very Helpful,Yes,Often double check,Yes
,18,Male,University,Comp Sci & Engineering,Often,Not Very Often,Slightly Helpful,Yes,Often double check,Yes
,18,Female,University,Comp Sci & Engineering,Very Often,Often,Very Helpful,Yes,Often double check,Yes
,18,Male,University,Comp Sci & Engineering,Not Very Often,Never used it,Useless,No,Don't trust it at all,Yes
,19,Male,University,Comp Sci & Engineering,Often,Often,Slightly Helpful,Yes,Often double check,Yes
,19,Male,University,Comp Sci & Engineering,Very Often,Not Very Often,Very Helpful,Yes,Often double check,Yes
,19,Female,University,Comp Sci & Engineering,Very Often,Not Very Often,Slightly Helpful,No,Don't trust it at all,Yes
,18,Male,University,Comp Sci & Engineering,Often,Not Very Often,Slightly Helpful,No,Completely trust it,Yes
,18,Male,University,Comp Sci & Engineering,Often,Not Very Often,Useless,No,Don't trust it at all,Yes
,18,Male,University,Comp Sci & Engineering,Very Often,Very Often,Very Helpful,Yes,Often double check,Yes
,18,Male,University,Comp Sci & Engineering,Not Very Often,Never used it,Useless,No,Don't trust it at all,Yes
,19,Male,University,Comp Sci & Engineering,Very Often,Never used it,Useless,Unsure,Don't trust it at all,Yes
,18,Male,University,Comp Sci & Engineering,Very Often,Often,Helpful,Yes,Often double check,Yes
,19,Male,University,Comp Sci & Engineering,Often,Not Very Often,Slightly Helpful,No,Often double check,Yes
,18,Female,University,Comp Sci & Engineering,Not Very Often,Never used it,Useless,No,Don't trust it at all,No
,18,Female,University,Arts,Not Very Often,Never used it,Useless,No,Don't trust it at all,No
,19,Female,University,Arts,Very Often,Never used it,Useless,No,Don't trust it at all,Yes
,18,Male,University,Business and Economics,Very Often,Very Often,Helpful,Yes,Often double check,Yes
,19,Male,University,Business and Economics,Very Often,Not Very Often,Helpful,Yes,Completely trust it,Yes
,18,Male,University,Mathematics/Stats,Often,Not Very Often,Useless,No,Don't trust it at all,Yes
,19,Male,University,Mathematics/Stats,Not Very Often,Often,Useless,No,Don't trust it at all,Yes
,18,Male,University,Mathematics/Stats,Very Often,Not Very Often,Slightly Helpful,No,Often double check,Yes
,19,Male,University,Mathematics/Stats,Very Often,Not Very Often,Useless,No,Don't trust it at all,Yes
,19,Female,University,Mathematics/Stats,Very Often,Not Very Often,Slightly Helpful,No,Don't trust it at all,Yes
,18,Male,University,Mathematics/Stats,Very Often,Never used it,Useless,No,Don't trust it at all,Yes
,22,Female,College,Health Sciences,Often,Not Very Often,Useless,Unsure,Often double check,Maybe
,21,Female,University,Comp Sci & Engineering,Very Often,Not Very Often,Slightly Helpful,Unsure,Often double check,Yes
,19,Male,University,Comp Sci & Engineering,Often,Not Very Often,Slightly Helpful,Unsure,Often double check,Maybe
,19,Male,University,Comp Sci & Engineering,Often,Not Very Often,Helpful,Unsure,Often double check,Yes
,18,Female,University,Business and Economics,Very Often,Often,Helpful,Yes,Often double check,Yes
,18,Female,University,Health Sciences,Very Often,Often,Very Helpful,Yes,Completely trust it,Yes
,18,Male,University,Mathematics/Stats,Often,Not Very Often,Slightly Helpful,No,Often double check,Yes
,19,Male,University,Comp Sci & Engineering,Often,Never used it,Useless,No,Don't trust it at all,No
,18,Male,University,Business and Economics,Often,Often,Helpful,No,Often double check,Yes
,18,Male,University,Comp Sci & Engineering,Very Often,Often,Helpful,Unsure,Often double check,Maybe
,19,Male,University,Arts,Very Often,Not Very Often,Slightly Helpful,No,Often double check,Maybe
,18,Male,University,Comp Sci & Engineering,Very Often,Not Very Often,Slightly Helpful,No,Often double check,Maybe
,18,Male,University,Comp Sci & Engineering,Often,Often,Helpful,Unsure,Often double check,Yes
,18,Female,University,Comp Sci & Engineering,Often,Not Very Often,Slightly Helpful,No,Often double check,Maybe
,20,Female,University,Business and Economics,Often,Never used it,Useless,Unsure,Don't trust it at all,Maybe
,19,Male,University,Arts,Very Often,Never used it,Useless,No,Don't trust it at all,No
,19,Female,University,Business and Economics,Often,Not Very Often,Slightly Helpful,No,Often double check,Maybe
,18,Male,University,Comp Sci & Engineering,Very Often,Often,Slightly Helpful,Unsure,Often double check,Yes
,19,Male,University,Mathematics/Stats,Often,Not Very Often,Slightly Helpful,Unsure,Often double check,Yes
,18,Male,University,Health Sciences,Often,Never used it,Useless,No,Don't trust it at all,Maybe
,21,Female,College,Health Sciences,Very Often,Very Often,Very Helpful,Yes,Completely trust it,Yes
